NO_ENTIDADE,TP_DEPENDENCIA,NO_BAIRRO,QT_MAT_INF,bairro,região
CEDIN PROF ANA MARIA DE ARRUDA PEREIRA,4,JARDIM SAO JOSE II,348.0,,Leste
QUERUBIM UNIDADE BOSQUE,4,BOSQUE DOS EUCALIPTOS,19.0,BOSQUE DOS EUCALIPTOS,Sul
GLOW EDUCACAO UNIDADE 2,4,JARDIM APOLO II,163.0,JARDIM APOLO II,Centro
PRIMAVERA CECOI,4,PRIMAVERA 1B,198.0,,Sul
ZILDA ALTIMIRA SOCI PROFA EMEFI,3,JARDIM BOA VISTA,30.0,JARDIM BOA VISTA,Norte
ESCOLA JARDIM AURORA,4,CHACARAS SAO JOSE,22.0,CHACARAS SAO JOSE,Sudeste
IGNEZ SAGULA FOSSA PROFA EMEI,3,JARDIM LIMOEIRO,90.0,,Oeste
COLEGIO SERRAMAR,4,CONDOMINIO RESIDENCIAL MONACO,82.0,,Oeste
MIRIAM RICCI ESCOLA MONTESSORIANA,4,VILA EMA,215.0,VILA EMA,Centro
ZENAIDE VILALVA ARAUJO PROFA EMEI,3,VILA ADYANA,392.0,,Centro
IRMA CLARA CECOI,4,JARDIM PARAISO DO SOL,196.0,JARDIM PARAISO DO SOL,Leste
PALHACINHO PIM POM ESCOLA DE EDUCACAO INFANTIL,4,JARDIM DAS INDUSTRIAS,59.0,JARDIM DAS INDUSTRIAS,Oeste
ANA ISABEL BARBOSA PROFA EMEI,3,BUQUIRINHA,133.0,BUQUIRINHA,Norte
LIRIOS DO CAMPO V JARDIM SAO JUDAS CECOI,4,JARDIM SAO JUDAS TADEU,254.0,,Sudeste
NOSSA SENHORA AUXILIADORA CECOI,4,JARDIM POR DO SOL,83.0,JARDIM POR DO SOL,Oeste
MEIMEI CECOI,4,BOSQUE DOS EUCALIPTOS,179.0,BOSQUE DOS EUCALIPTOS,Sul
VICENTE SIMIAO LUZ EMEI,3,JARDIM SAO LEOPOLDO,206.0,JARDIM SAO LEOPOLDO,Sudeste
RIO COMPRIDO EMEI,3,RIO COMPRIDO,84.0,RIO COMPRIDO,Sul
JOSE PAULINO BICUDO EMEI,3,CONJUNTO RESIDENCIAL VALE DOS PINHEIROS,62.0,,Oeste
MARIA JOSE GUIDO BROGLIATO FREIRE PROFA EMEI,3,JARDIM COLONIAL,497.0,JARDIM COLONIAL,Sul
MARIA APARECIDA SAVASTANO SANCHEZ PROFA EMEI,3,CENTRO,182.0,CENTRO,Centro
SONHO DE CRIANCA CENTRO EDUCACIONAL,4,PARQUE INTERLAGOS,67.0,PARQUE INTERLAGOS,Sul
AME CECOI,4,BOSQUE DOS EUCALIPTOS,184.0,BOSQUE DOS EUCALIPTOS,Sul
CASSIANO RICARDO EMEI,3,VILA ADYANA,532.0,,Centro
JOSE RUBENS FRANCO BONAFE PADRE EMEI,3,JARDIM SANTA MATILDE,165.0,JARDIM SANTA MATILDE,Norte
LIRIOS DO CAMPO I TORRAO CECOI,4,TORRAO DE OURO,160.0,,Sul
DENTE DE LEITE ESCOLA DE EDUCACAO INFANTIL,4,JARDIM ESPLANADA,70.0,JARDIM ESPLANADA,Centro
MAE MARIQUINHA LAR ESCOLA CECOI,4,FREITAS,178.0,,Norte
MARIA EZEQUIEL SANT ANNA PROFA EMEI,3,JARDIM SATELITE,132.0,JARDIM SATELITE,Sul
ANGELA DE CASTRO FERNANDES LOPES PROFA EMEI,3,PARQUE INDUSTRIAL,489.0,PARQUE INDUSTRIAL,Sul
MARILDA APARECIDA MONTEMOR PROFA EMEI,3,JARDIM ORIENTE,503.0,,Sul
TORATARO TAKITANI EMEI,3,JARDIM VALE DO SOL,286.0,JARDIM VALE DO SOL,Sul
OLGA FRANCO CUSTODIO PROFA EMEI,3,JARDIM MOTORAMA,524.0,JARDIM MOTORAMA,Leste
MARIO CAMPANER PROF EMEI,3,JARDIM DAS INDUSTRIAS,389.0,JARDIM DAS INDUSTRIAS,Oeste
IDELENA MENEZES TREFILIO DE CARVALHO PROFA EMEI,3,SANTANA,440.0,SANTANA,Norte
ELZA FERREIRA RAHAL PROFA EMEI,3,VILA MARIA,169.0,VILA MARIA,Centro
CLEANIR SANTOS MALDONADO CAMPOY PROFA EMEI,3,JARDIM AEROPORTO,123.0,JARDIM AEROPORTO,Sul
ARLINDO CAETANO FILHO PROF EMEI,3,CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO,417.0,,Sul
ANA LUCIA DE CASTRO MICHELETO PROFA EMEI,3,VILA TATETUBA,263.0,VILA TATETUBA,Leste
CREMILDA ALVES DE OLIVEIRA AZEVEDO PROFA EMEI,3,VILA NOVA CRISTINA,118.0,,Norte
ALADIR MAIA RIBEIRO GOMES EMEI,3,JARDIM SATELITE,174.0,JARDIM SATELITE,Sul
FEBRONIO PEREIRA GOMES EMEI,3,PARQUE NOVO HORIZONTE,592.0,PARQUE NOVO HORIZONTE,Leste
MARIA CLARA FERNANDES CORREIA FRANCA DA SILVA PROFA EMEI,3,CIDADE MORUMBI,327.0,CIDADE MORUMBI,Sul
SILVIA HELENA DE SOUSA PROFA EMEI,3,SANTANA,42.0,SANTANA,Norte
MARIANITA DE OLIVEIRA PEREIRA SANTOS PROFA EMEI,3,BOSQUE DOS EUCALIPTOS,191.0,BOSQUE DOS EUCALIPTOS,Sul
ILZA NASCIMENTO PINTUS PROFESSORA EMEI,3,CHACARAS REUNIDAS,108.0,CHACARAS REUNIDAS,Sul
DOROTI DA SILVA CUNHA EMEI,3,JARDIM SANTA INES I,339.0,JARDIM SANTA INES I,Leste
JOSE ANTERO CURSINO DOS SANTOS PROF EMEI,3,JARDIM SATELITE,301.0,JARDIM SATELITE,Sul
ZILDA COSTA DE OLIVEIRA PROFA EMEI,3,JARDIM DA GRANJA,429.0,JARDIM DA GRANJA,Sudeste
ZELI DE TOLEDO DIAS PROFA EMEI,3,JARDIM UIRA,229.0,JARDIM UIRA,Sudeste
VILA SAO GERALDO EMEI DA,3,VILA SAO GERALDO,151.0,VILA SAO GERALDO,Norte
OLGA ELIAS DA CUNHA PROFA NEI,3,VILA SAO BENTO,32.0,VILA SAO BENTO,Sul
IRACEMA OLIVEIRA DE MELLO EMEI,3,JARDIM SANTO ONOFRE,387.0,JARDIM SANTO ONOFRE,Sudeste
MARIA DA GLORIA MARIANO SANTOS PROFA EMEI,3,JARDIM TELESPARK,600.0,JARDIM TELESPARK,Norte
SANDRA REGINA DE ALMEIDA PAULO PROFA EMEI,3,JARDIM AMERICANO,115.0,JARDIM AMERICANO,Leste
JOSE PURCINI EMEI,3,JARDIM SANTA INES II,264.0,JARDIM SANTA INES II,Leste
