Região,Mais de 60 anos,UBS,Idoso %Total,UBS %Total
Centro,9935,4,8.572858511161542,8.88888888888889
Leste,21315,14,18.392599815340542,31.11111111111111
Norte,21568,7,18.610912165951902,15.555555555555555
Oeste,20856,2,17.996531163440878,4.444444444444445
SFX,37,1,0.03192710265857847,2.2222222222222223
Sudeste,12971,6,11.192606718497872,13.333333333333334
Sul,29207,11,25.202564522948684,24.444444444444443
