NO_ENTIDADE,TP_DEPENDENCIA,NO_BAIRRO,QT_MAT_INF
MARIA JOSE GUIDO BROGLIATO FREIRE PROFA EMEI,3,JARDIM COLONIAL,497.0
MARIA APARECIDA SAVASTANO SANCHEZ PROFA EMEI,3,CENTRO,182.0
SONHO DE CRIANCA CENTRO EDUCACIONAL,4,PARQUE INTERLAGOS,67.0
AME CECOI,4,BOSQUE DOS EUCALIPTOS,184.0
CASSIANO RICARDO EMEI,3,VILA ADYANA,532.0
JOSE RUBENS FRANCO BONAFE PADRE EMEI,3,JARDIM SANTA MATILDE,165.0
LIRIOS DO CAMPO I TORRAO CECOI,4,TORRAO DE OURO,160.0
DENTE DE LEITE ESCOLA DE EDUCACAO INFANTIL,4,JARDIM ESPLANADA,70.0
MAE MARIQUINHA LAR ESCOLA CECOI,4,FREITAS,178.0
MARIA EZEQUIEL SANT ANNA PROFA EMEI,3,JARDIM SATELITE,132.0
ANGELA DE CASTRO FERNANDES LOPES PROFA EMEI,3,PARQUE INDUSTRIAL,489.0
MARILDA APARECIDA MONTEMOR PROFA EMEI,3,JARDIM ORIENTE,503.0
TORATARO TAKITANI EMEI,3,JARDIM VALE DO SOL,286.0
OLGA FRANCO CUSTODIO PROFA EMEI,3,JARDIM MOTORAMA,524.0
MARIO CAMPANER PROF EMEI,3,JARDIM DAS INDUSTRIAS,389.0
IDELENA MENEZES TREFILIO DE CARVALHO PROFA EMEI,3,SANTANA,440.0
ELZA FERREIRA RAHAL PROFA EMEI,3,VILA MARIA,169.0
CLEANIR SANTOS MALDONADO CAMPOY PROFA EMEI,3,JARDIM AEROPORTO,123.0
ARLINDO CAETANO FILHO PROF EMEI,3,CONJUNTO RESIDENCIAL TRINTA E UM DE MARCO,417.0
ANA LUCIA DE CASTRO MICHELETO PROFA EMEI,3,VILA TATETUBA,263.0
CREMILDA ALVES DE OLIVEIRA AZEVEDO PROFA EMEI,3,VILA NOVA CRISTINA,118.0
ALADIR MAIA RIBEIRO GOMES EMEI,3,JARDIM SATELITE,174.0
FEBRONIO PEREIRA GOMES EMEI,3,PARQUE NOVO HORIZONTE,592.0
MARIA CLARA FERNANDES CORREIA FRANCA DA SILVA PROFA EMEI,3,CIDADE MORUMBI,327.0
SILVIA HELENA DE SOUSA PROFA EMEI,3,SANTANA,42.0
MARIANITA DE OLIVEIRA PEREIRA SANTOS PROFA EMEI,3,BOSQUE DOS EUCALIPTOS,191.0
ILZA NASCIMENTO PINTUS PROFESSORA EMEI,3,CHACARAS REUNIDAS,108.0
DOROTI DA SILVA CUNHA EMEI,3,JARDIM SANTA INES I,339.0
JOSE ANTERO CURSINO DOS SANTOS PROF EMEI,3,JARDIM SATELITE,301.0
ZILDA COSTA DE OLIVEIRA PROFA EMEI,3,JARDIM DA GRANJA,429.0
ZELI DE TOLEDO DIAS PROFA EMEI,3,JARDIM UIRA,229.0
VILA SAO GERALDO EMEI DA,3,VILA SAO GERALDO,151.0
OLGA ELIAS DA CUNHA PROFA NEI,3,VILA SAO BENTO,32.0
IRACEMA OLIVEIRA DE MELLO EMEI,3,JARDIM SANTO ONOFRE,387.0
MARIA DA GLORIA MARIANO SANTOS PROFA EMEI,3,JARDIM TELESPARK,600.0
SANDRA REGINA DE ALMEIDA PAULO PROFA EMEI,3,JARDIM AMERICANO,115.0
JOSE PURCINI EMEI,3,JARDIM SANTA INES II,264.0
DIRCE SALONI PIRES PROFA EMEI,3,VILA PAIVA,133.0
DOMINGOS DE MACEDO CUSTODIO PROF EMEI,3,VILA TESOURO,359.0
ELZA MARIA DIAS MENDONCA PROFA EMEI,3,MONTE CASTELO,231.0
MARIA ALICE PASQUARELLI PROFA EMEI,3,JARDIM COPACABANA,538.0
SONIA MARA RAMOS PROFA EMEI,3,VILA SAO PEDRO,123.0
JOAO MARCONDES GUIMARAES PADRE EMEI,3,BOSQUE DOS EUCALIPTOS,405.0
MONTEIRO LOBATO EEIFM,4,JARDIM DAS COLINAS,154.0
FRANCISCANO NOSSA SENHORA APARECIDA COLEGIO,4,CENTRO,75.0
INSTITUTO SAO JOSE,4,JD ESPLANADA,139.0
WALTER FORTUNATO ESCOLA,4,CIDADE VISTA VERDE,79.0
NATURAL VIVENCIA ESCOLA DE EI E EF,4,URBANOVA,20.0
DENTE DE LEITE CCI,2,JARDIM SAO DIMAS,5.0
CENTRO EDUCACIONAL OBJETIVO UNIDADE AQUARIUS,4,JARDIM SERIMBURA,64.0
COLEGIO SALONI,4,VILA EMA,50.0
COLEGIO MATER DEI,4,URBANOVA,188.0
COLEGIO OBJETIVO ESPLANADA,4,JARDIM ESPLANADA,32.0
ADVENTISTA DE SAO JOSE DOS CAMPOS COLEGIO,4,BOSQUE EUCALIPTOS,121.0
ESCOLA CRISTA BATISTA REGULAR,4,BOSQUE DOS EUCALIPTOS,36.0
CASSIANO RICARDO COLEGIO EIEEF,4,JARDIM DAS INDUSTRIAS,40.0
INSTITUTO EDUCACIONAL IGUATEMY ESCOLA DE EI EF E EM,4,VILA ADYANA,48.0
EMAK ESCOLA EMANUEL KANT,4,CIDADE VISTA VERDE,26.0
TEOFILO REZENDE COLEGIO,4,FLORADAS DE SAO JOSE,93.0
COLEGIO JOSEENSE,4,RESIDENCIAL SOL NASCENTE,40.0
COLEGIO EVOLUCAO ED INFANTIL E ENS FUNDAMENTAL,4,PRQ INDUSTRIAL,15.0
ANCHIETA COLEGIO,4,JARDIM ORIENTE,4.0
LUCE PRIMA COLEGIO,4,FLORADAS DE SAO JOSE,37.0
CRESCERESPACO DE CRESCIMENTO E APERFEICOAMENTO PSICOPEDAGOGICO,4,VILA BELA VISTA,8.0
RIBEIRO GOULART INSTITUTO DE EDUC ESC MAXIMUS,4,JARDIM ORIENTE,32.0
JULIO MARIA PADRE ESCOLA DE EDUCACAO INFANTIL,4,VILA ALEXANDRINA,15.0
JARDIM ENCANTADO CENTRO DE CONVIVENCIA INFANTIL E EF,4,VISTA VERDE,17.0
DOM BOSCO COLEGIO,4,JARDIM ESPLANADA,23.0
MARTIM DE SA CENTRO DE EDUCACAO INFANTIL,4,JARDIM SATELITE,16.0
VICTOR MARTINS RODRIGUES IEIEF,4,JARDIM ISMENIA,44.0
MONTE CASTELO INSTITUTO EDUCACIONAL,4,MONTE CASTELO,30.0
MARIA DAS DORES ESCOLA DE EDUCACAO INFANTIL,4,JARDIM AMERICA,25.0
ESPACO NATURAL BERCARIO E EDUCACAO INFANTIL,4,JARDIM SAO DIMAS,41.0
PROSSEGUIR COLEGIO,4,JARDIM SATELITE,48.0
CONSTRUIR CENTRO EDUCACIONAL,4,JARDIM DAS INDUSTRIAS,107.0
COLEGIO JOSEENSE UNIDADE II,4,CHACARAS SAO JOSE,100.0
AVANTI BERCARIO E EDUCACAO INFANTIL,4,JARDIM NOVA AMERICA,28.0
CIRANDINHA ESCOLA INFANTIL,4,JARDIM AMERICA,87.0
DESPERTAR ESCOLA DE EDUCACAO INFANTIL E FUNDDAMENTAL,4,JARDIM ISMENIA,82.0
BLIM BLAM INSTITUTO RECREATIVO,4,JARDIM OSWALDO CRUZ,34.0
CELIO LEMOS CECOI,4,MONTE CASTELO,313.0
SPHERE INTERNATIONAL SCHOOL,4,SERIMBURA,95.0
FUTURA GERACAO COLEGIO,4,URBANOVA,5.0
LADIEL BENEDITO DE CARVALHO PROF EMEI,3,PARQUE INTERLAGOS,547.0
BENEDITO CARVALHO DOS SANTOS EMEI,3,VILA MARIA,192.0
LUIZ SUNDFELD PROF EMEI,3,CONJUNTO RESIDENCIAL GALO BRANCO,442.0
JESUS DE NAZARE EMEI,3,VILA SAO BENTO,154.0
ARTUR APARECIDO DA ROSA EMEI,3,JARDIM SAO JUDAS TADEU,329.0
PLANETARIO ESCOLA DE EDUCACAO INFANTIL,4,JARDIM NOVA AMERICA,36.0
CATAVENTO COLEGIO,4,BOSQUE DOS EUCALIPTOS,41.0
INOVANDO O APRENDIZADO INSTITUTO DE DESENVOLVIME EDUC IDEIA,4,BOSQUE DOS EUCALIPTOS,24.0
ESPACO DO SABER ESCOLA DE EDUCACAO INFANTIL E BERCARIO,4,JARDIM DAS INDUSTRIAS,165.0
ESTRELINHA MAGICA ESCOLA DE EDUCACAO INFANTIL,4,PARQUE INDUSTRIAL,16.0
CIRANDA DO SABER,4,JARDIM DAS INDUSTRIAS,24.0
MARIO DONIZETE BORGES CEDIN,4,JARDIM SAO JOSE II,235.0
ASTER COLEGIO,4,JARDIM DA GRANJA,64.0
IRMAS CARMELITAS CECOI,4,VILA SAO GERALDO,100.0
EDEN LAR DAS CRIANCAS II JARDIM SATELITE CECOI,4,JARDIM SATELITE,110.0
COC SJC UNIDADE SUL,4,RESIDENCIAL UNIAO,83.0
EDEN LAR DAS CRIANCAS I VILA MARIA CECOI,4,VILA MARIA,232.0
PAULO CESAR DOS SANTOS MORTARI PROF CEDIN,4,CAMPO DOS ALEMAES,816.0
JOSE MADUREIRA LEBRAO EMEI,3,JARDIM MARIANA II,528.0
ROSALIA JOANA SCHEID CECOI,4,BOSQUE DOS EUCALIPTOS,86.0
JANE PALUMBO PROFA EMEI,3,CONJUNTO RESIDENCIAL DOM PEDRO I,660.0
EDERA IRENE PEREIRA DE OLIVEIRA CARDOSO PROFA EMEI,3,JARDIM PARAISO DO SOL,452.0
